Scenario,Year,mean_AGB,SRR,Min_rate,Fungi,GF,Lichen,Aesthetic,Recreation
1,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
1,10,266.56478,5.54077185,17.57939419,10.37628488,10.5139456,33.93510817,4.249461789,4.162813458
1,20,294.5953434,5.644651698,16.32154603,10.95421339,9.641571014,34.46739267,4.354569993,4.21579274
1,30,317.9873035,5.734002189,15.24840393,11.42471095,8.963650825,34.84884761,4.436714746,4.258868765
1,40,336.3834553,5.805337716,14.39504553,11.79383401,8.46205643,35.12386237,4.498924853,4.292283971
1,50,351.3761637,5.864355202,13.69181496,12.09076375,8.072433881,35.32645213,4.547660614,4.319136433
1,60,363.9788555,5.914660914,13.09455229,12.33587427,7.75757148,35.4792473,4.587094252,4.341407243
1,70,374.2228369,5.956211706,12.60325514,12.52888536,7.509550244,35.58642971,4.617711742,4.359224312
1,80,382.0029715,5.988429761,12.22429957,12.6674889,7.325362465,35.65049782,4.63960136,4.372472286
1,90,387.5824569,6.012015494,11.94829776,12.76050451,7.195252718,35.683738,4.654344449,4.381767693
1,100,391.5967767,6.029241193,11.7474623,12.82392479,7.102647978,35.70085852,4.66445501,4.388346465
2,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
2,10,253.1136036,5.495429419,18.14329259,10.05561992,10.9486398,33.56974089,4.189859227,4.135474841
2,20,281.9877243,5.599350445,16.87477329,10.67225766,10.02128248,34.19073017,4.30461552,4.191365549
2,30,306.8223958,5.691858812,15.75617628,11.1909475,9.27996695,34.65326481,4.396701288,4.238102579
2,40,326.8372833,5.767847384,14.84203763,11.60737317,8.719701839,34.99319888,4.467728671,4.275151211
2,50,343.4000195,5.831941277,14.07489165,11.946369,8.279393147,35.24520076,4.523842322,4.305287625
2,60,357.3632769,5.886956744,13.41950388,12.22551252,7.923692533,35.43316638,4.568999694,4.330271119
2,70,368.6848372,5.93238577,12.8808665,12.4444081,7.645067178,35.56453161,4.603801408,4.350171919
2,80,377.2728734,5.967641635,12.46527136,12.6010896,7.438884653,35.64338423,4.628533035,4.364925233
2,90,383.4161619,5.99344587,12.16283203,12.70550542,7.293819547,35.68435752,4.645059953,4.375228904
2,100,387.85181,6.012410798,11.94152311,12.77634645,7.190279435,35.70510295,4.656351306,4.382526768
3,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
3,10,242.4353372,5.463282085,18.55704035,9.763169995,11.29632046,33.18725672,4.134470045,4.112139094
3,20,271.3364691,5.564906968,17.30842291,10.39210611,10.34444315,33.86205183,4.254297688,4.169095656
3,30,296.6967408,5.657181156,16.18546644,10.93671804,9.568554912,34.38598937,4.352908864,4.217753859
3,40,317.6376075,5.734937254,15.24443813,11.38661529,8.968664485,34.78424007,4.430925649,4.257262376
3,50,335.0562325,5.800762329,14.45157923,11.75878528,8.496151611,35.08901792,4.493331519,4.289634205
3,60,350.0801726,5.858586941,13.75847774,12.07441232,8.106656072,35.32642956,4.544803607,4.317102832
3,70,362.7281886,5.908393988,13.16505507,12.33008158,7.790581528,35.49773625,4.5856414,4.339739712
3,80,372.5865078,5.948244228,12.69345475,12.51772108,7.550976663,35.60454423,4.615302816,4.356940909
3,90,379.7476831,5.977913406,12.34452174,12.64491275,7.380314532,35.663162,4.635386955,4.369127128
3,100,384.8796794,5.999600291,12.09071951,12.73040031,7.259667969,35.6939376,4.648943619,4.377679212
4,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
4,10,225.8631122,5.402348105,19.29645945,9.449831833,11.8885409,32.87148635,4.071878693,4.080628754
4,20,258.7715151,5.515373889,17.89841654,10.17866763,10.76145399,33.70104257,4.213559975,4.146621974
4,30,287.1488786,5.617272388,16.65378866,10.79481929,9.865501872,34.31963509,4.326487074,4.201640687
4,40,310.2438996,5.702508943,15.62052415,11.29256769,9.186724476,34.77168204,4.41345632,4.2454321
4,50,329.2975181,5.774485553,14.75348273,11.69730082,8.658677844,35.10579295,4.481565076,4.280847949
4,60,345.4083359,5.836775675,14.00775274,12.03026001,8.233188026,35.35313031,4.536034893,4.310177422
4,70,358.7782624,5.889810622,13.37706639,12.2940417,7.89352976,35.52418798,4.578396268,4.333940326
4,80,369.1637042,5.932011582,12.87831179,12.48793645,7.637597478,35.63096338,4.609210938,4.351967456
4,90,376.8755305,5.964154533,12.50085271,12.62173588,7.451531772,35.68902545,4.630483073,4.36500952
4,100,382.6203904,5.988680243,12.21454762,12.71351543,7.314882433,35.71687993,4.645228502,4.374479182
5,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
5,10,203.6038935,5.326579754,20.23608353,8.979352987,12.71506896,32.30556612,3.975254094,4.035733582
5,20,237.9257957,5.440105958,18.81635825,9.753394697,11.47215675,33.26400854,4.13179066,4.1064054
5,30,268.5350409,5.546977703,17.50063605,10.42952931,10.4528039,33.99998804,4.259588528,4.167036137
5,40,294.0475782,5.639113401,16.37703917,10.98855155,9.665827234,34.54705523,4.359576518,4.216263288
5,50,315.1835197,5.717574909,15.42741147,11.44513685,9.054415804,34.95141304,4.437873486,4.256132674
5,60,333.042932,5.785657741,14.60927243,11.82048429,8.564460275,35.24989522,4.500304168,4.289058704
5,70,347.9705663,5.844162432,13.91135544,12.12049072,8.172284591,35.45910332,4.549157679,4.315895977
5,80,359.7627048,5.891542567,13.34977583,12.34568306,7.873079073,35.59437305,4.585309434,4.336596512
5,90,368.8003003,5.928797699,12.91107098,12.50701618,7.649516499,35.67334369,4.611117198,4.352059088
5,100,375.6441801,5.957681904,12.57293194,12.62045796,7.483277854,35.71538128,4.629357158,4.363483134
6,0,239.2929954,5.445881296,18.74876294,9.770943596,11.42189923,33.2717079,4.13432324,4.10863581
6,10,196.1679614,5.302841256,20.53611729,8.810901517,12.99901278,32.08109661,3.939374305,4.020054
6,20,231.0749157,5.417219034,19.10173919,9.596329306,11.71076332,33.07602692,4.100720447,4.092385234
6,30,262.2328014,5.525141408,17.77005521,10.28452697,10.65458109,33.8429037,4.23262796,4.154468657
6,40,288.1238251,5.617766529,16.63752076,10.85554082,9.842997146,34.4180705,4.336074356,4.204803627
6,50,309.6751129,5.696945713,15.67649387,11.32678961,9.210320652,34.85026628,4.417786096,4.245813958
6,60,328.167953,5.766780743,14.83517522,11.72092053,8.696102589,35.17583841,4.483919966,4.280195839
6,70,343.8507175,5.82768602,14.10687829,12.04168106,8.279328513,35.40993703,4.536435444,4.308632153
6,80,356.3907233,5.87760497,13.51378952,12.28657309,7.958224907,35.56594619,4.57580903,4.330844831
6,90,365.9239278,5.916561985,13.05403256,12.46107377,7.720654929,35.6582439,4.603671004,4.347299649
6,100,373.0467083,5.94641883,12.70391515,12.58179747,7.546471227,35.70741332,4.623019605,4.359275005
